Name ,just-name,district,Hometown,LAT,LON,hometown-coords,Leadership role,AP Style ,Office,Contact,Topics of interest,Important affiliations,
Senator Doug Beck,Doug Beck,State Senate District 1,Affton,38.5521715,-90.3263911,"38.5521715,-90.3263911",,"Sen. Doug Beck, D-St. Louis County",427,(573) 751-0220,Healthcare,,
Senator Nick Schroer,Nick Schroer,State Senate District 2,Defiance,38.6329706,-90.7788717,"38.6329706,-90.7788717",,"Sen. Nick Schroer, R-O’Fallon",431,(573) 751-1282,,,
Senator Elaine Gannon,Elaine Gannon,State Senate District 3,De Soto,38.9791708,-94.9685784,"38.9791708,-94.9685784",,"Sen. Elaine Gannon, R-De Soto",426,(573) 751-4008,Maternal mortality,,
Senator Karla May,Karla May,State Senate District 4,St. Louis,38.6280278,-90.1910154,"38.6280278,-90.1910154",,"Sen. Karla May, D-St. Louis",225,(573) 751-3599,,,
Senator Steven Roberts,Steven Roberts,State Senate District 5,St. Louis,38.6280278,-90.1910154,"38.6280278,-90.1910154",,"Sen. Steven Roberts, D-St. Louis",328,(573) 751-4415,,,
Senator Mike Bernskoetter,Mike Bernskoetter,State Senate District 6,Jefferson City,38.577359,-92.1724265,"38.577359,-92.1724265",,"Sen. Mike Bernskoetter, R-Jefferson City",416,(573) 751-2076,,,
Senator Greg Razer,Greg Razer,State Senate District 7,Kansas City,39.100105,-94.5781416,"39.100105,-94.5781416",,"Sen. Greg Razer, D-Kansas City",330,(573) 751-6607,LGBTQ,,
Senator Mike Cierpiot,Mike Cierpiot,State Senate District 8,Lee’s Summit,38.9107156,-94.3821295,"38.9107156,-94.3821295",,"Sen. Mike Cierpiot, R-Lee’s Summit ",422,(573) 751-1464,,,
Senator Barbara Washington,Barbara Washington,State Senate District 9,Kansas City,39.100105,-94.5781416,"39.100105,-94.5781416",,"Sen. Barbara Washington’s, D-Kansas City",329,(573) 751-3158,,,
Senator Travis Fitzwater,Travis Fitzwater,State Senate District 10,Holts Summit,38.640315,-92.1224056,"38.640315,-92.1224056",,"Sen. Travis Fitzwater, R-Holts Summit",418,(573) 751-2757,,,
